X1,Y1,X2,Y2,Subpoints_origin,Subpoints_destiny,Distance,Duration,Elevation
4.78185673853534,-75.69654313976541,4.79136227051032,-75.7366627846479,"[4.7823313, -75.6964639]","[4.745333599999999, -75.6653393]",6622.0,525.0,2.8777631810325333
,,,,"[4.745333599999999, -75.6653393]","[4.7815128, -75.72129029999999]",8121.0,434.0,2.5159519619263664
,,,,"[4.7815128, -75.72129029999999]","[4.7815949, -75.7201059]",159.0,34.0,0.08628463169361356
,,,,"[4.7815949, -75.7201059]","[4.785239199999999, -75.7259674]",804.0,104.0,2.6837287729745567
,,,,"[4.785239199999999, -75.7259674]","[4.791488999999999, -75.7365233]",1413.0,185.0,1.6496183210775843
4.760402373347921,-75.6786753336553,4.793005543757401,-75.7518944501911,"[4.7603878, -75.6784132]","[4.7608064, -75.6775735]",139.0,36.0,5.2195527636263455
,,,,"[4.7608064, -75.6775735]","[4.759252099999999, -75.6752118]",316.0,124.0,1.7482183380497311
,,,,"[4.759252099999999, -75.6752118]","[4.757225399999999, -75.6780612]",446.0,89.0,1.0444913692284348
,,,,"[4.757225399999999, -75.6780612]","[4.745333599999999, -75.6653393]",2246.0,194.0,2.7564176368019893
,,,,"[4.745333599999999, -75.6653393]","[4.787929099999999, -75.74251380000001]",10650.0,578.0,2.416389727894459
,,,,"[4.787929099999999, -75.74251380000001]","[4.8000959, -75.7580686]",2258.0,152.0,1.264827714494593
,,,,"[4.8000959, -75.7580686]","[4.8001459, -75.76010169999999]",345.0,42.0,0.2160489785549156
,,,,"[4.8001459, -75.76010169999999]","[4.8000109, -75.75908969999999]",130.0,73.0,1.4968404720172617
,,,,"[4.8000109, -75.75908969999999]","[4.7954267, -75.7573657]",676.0,186.0,1.0133595451145536
,,,,"[4.7954267, -75.7573657]","[4.795304, -75.75200199999999]",609.0,160.0,0.8186113680976388
4.8028847348108,-75.7140743955588,4.81734161487362,-75.74305262892621,"[4.8019809, -75.7133985]","[4.8020096, -75.7127915]",68.0,35.0,7.6557908444045255
,,,,"[4.8020096, -75.7127915]","[4.802615299999999, -75.71132209999999]",204.0,76.0,4.512573971610699
